group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
import block with ed25519 B-0003,,Native,,,32878742.0,ns,1
import block with ed25519 B-0003,,Native,,,75457681.0,ns,2
import block with ed25519 B-0003,,Native,,,110613476.0,ns,3
import block with ed25519 B-0003,,Native,,,183911778.0,ns,4
import block with ed25519 B-0003,,Native,,,182452308.0,ns,5
import block with ed25519 B-0003,,Native,,,211542920.0,ns,6
import block with ed25519 B-0003,,Native,,,285992950.0,ns,7
import block with ed25519 B-0003,,Native,,,360983760.0,ns,8
import block with ed25519 B-0003,,Native,,,445762198.0,ns,9
import block with ed25519 B-0003,,Native,,,383260475.0,ns,10
import block with ed25519 B-0003,,Native,,,427672582.0,ns,11
import block with ed25519 B-0003,,Native,,,456004583.0,ns,12
import block with ed25519 B-0003,,Native,,,511210363.0,ns,13
import block with ed25519 B-0003,,Native,,,557005430.0,ns,14
import block with ed25519 B-0003,,Native,,,653910143.0,ns,15
import block with ed25519 B-0003,,Native,,,815979413.0,ns,16
import block with ed25519 B-0003,,Native,,,696372016.0,ns,17
import block with ed25519 B-0003,,Native,,,756267029.0,ns,18
import block with ed25519 B-0003,,Native,,,775849715.0,ns,19
import block with ed25519 B-0003,,Native,,,1026912084.0,ns,20
import block with ed25519 B-0003,,Native,,,921450704.0,ns,21
import block with ed25519 B-0003,,Native,,,966393548.0,ns,22
import block with ed25519 B-0003,,Native,,,1130612098.0,ns,23
import block with ed25519 B-0003,,Native,,,1160634279.0,ns,24
import block with ed25519 B-0003,,Native,,,1110317616.0,ns,25
import block with ed25519 B-0003,,Native,,,1023494612.0,ns,26
import block with ed25519 B-0003,,Native,,,1282223423.0,ns,27
import block with ed25519 B-0003,,Native,,,1121035777.0,ns,28
import block with ed25519 B-0003,,Native,,,1152517988.0,ns,29
import block with ed25519 B-0003,,Native,,,1344029191.0,ns,30
import block with ed25519 B-0003,,Native,,,1121179692.0,ns,31
import block with ed25519 B-0003,,Native,,,1399811451.0,ns,32
import block with ed25519 B-0003,,Native,,,1351639591.0,ns,33
import block with ed25519 B-0003,,Native,,,1373686409.0,ns,34
import block with ed25519 B-0003,,Native,,,1636330359.0,ns,35
import block with ed25519 B-0003,,Native,,,1437594657.0,ns,36
import block with ed25519 B-0003,,Native,,,1717433819.0,ns,37
import block with ed25519 B-0003,,Native,,,1527262810.0,ns,38
import block with ed25519 B-0003,,Native,,,1724888135.0,ns,39
import block with ed25519 B-0003,,Native,,,1733617494.0,ns,40
import block with ed25519 B-0003,,Native,,,1919337552.0,ns,41
import block with ed25519 B-0003,,Native,,,2064086101.0,ns,42
import block with ed25519 B-0003,,Native,,,2076660045.0,ns,43
import block with ed25519 B-0003,,Native,,,1921980854.0,ns,44
import block with ed25519 B-0003,,Native,,,2194479545.0,ns,45
import block with ed25519 B-0003,,Native,,,2240305490.0,ns,46
import block with ed25519 B-0003,,Native,,,2007554125.0,ns,47
import block with ed25519 B-0003,,Native,,,1748620073.0,ns,48
import block with ed25519 B-0003,,Native,,,1916479425.0,ns,49
import block with ed25519 B-0003,,Native,,,1884870352.0,ns,50
