group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
import block with ed25519 B-0003,,Wasm,,,124083655.0,ns,1
import block with ed25519 B-0003,,Wasm,,,325268347.0,ns,2
import block with ed25519 B-0003,,Wasm,,,386000982.0,ns,3
import block with ed25519 B-0003,,Wasm,,,503648674.0,ns,4
import block with ed25519 B-0003,,Wasm,,,674172002.0,ns,5
import block with ed25519 B-0003,,Wasm,,,805486035.0,ns,6
import block with ed25519 B-0003,,Wasm,,,987357129.0,ns,7
import block with ed25519 B-0003,,Wasm,,,1455688925.0,ns,8
import block with ed25519 B-0003,,Wasm,,,1177537431.0,ns,9
import block with ed25519 B-0003,,Wasm,,,1348011738.0,ns,10
import block with ed25519 B-0003,,Wasm,,,1485521707.0,ns,11
import block with ed25519 B-0003,,Wasm,,,1744604897.0,ns,12
import block with ed25519 B-0003,,Wasm,,,1872098143.0,ns,13
import block with ed25519 B-0003,,Wasm,,,1755508838.0,ns,14
import block with ed25519 B-0003,,Wasm,,,1857581238.0,ns,15
import block with ed25519 B-0003,,Wasm,,,2506922903.0,ns,16
import block with ed25519 B-0003,,Wasm,,,2343381785.0,ns,17
import block with ed25519 B-0003,,Wasm,,,2412655621.0,ns,18
import block with ed25519 B-0003,,Wasm,,,2593551916.0,ns,19
import block with ed25519 B-0003,,Wasm,,,2629492331.0,ns,20
import block with ed25519 B-0003,,Wasm,,,3285800001.0,ns,21
import block with ed25519 B-0003,,Wasm,,,3116219833.0,ns,22
import block with ed25519 B-0003,,Wasm,,,3228480548.0,ns,23
import block with ed25519 B-0003,,Wasm,,,2896076356.0,ns,24
import block with ed25519 B-0003,,Wasm,,,3682732882.0,ns,25
import block with ed25519 B-0003,,Wasm,,,3524625765.0,ns,26
import block with ed25519 B-0003,,Wasm,,,3869073282.0,ns,27
import block with ed25519 B-0003,,Wasm,,,3574384952.0,ns,28
import block with ed25519 B-0003,,Wasm,,,4049069640.0,ns,29
import block with ed25519 B-0003,,Wasm,,,4053017423.0,ns,30
import block with ed25519 B-0003,,Wasm,,,3593986285.0,ns,31
import block with ed25519 B-0003,,Wasm,,,4633774693.0,ns,32
import block with ed25519 B-0003,,Wasm,,,4683726372.0,ns,33
import block with ed25519 B-0003,,Wasm,,,4364577670.0,ns,34
import block with ed25519 B-0003,,Wasm,,,4197541317.0,ns,35
import block with ed25519 B-0003,,Wasm,,,4424417351.0,ns,36
import block with ed25519 B-0003,,Wasm,,,5003633521.0,ns,37
import block with ed25519 B-0003,,Wasm,,,4830830240.0,ns,38
import block with ed25519 B-0003,,Wasm,,,6319423712.0,ns,39
import block with ed25519 B-0003,,Wasm,,,6053271044.0,ns,40
import block with ed25519 B-0003,,Wasm,,,6462157316.0,ns,41
import block with ed25519 B-0003,,Wasm,,,5981548240.0,ns,42
import block with ed25519 B-0003,,Wasm,,,5338374710.0,ns,43
import block with ed25519 B-0003,,Wasm,,,5666004630.0,ns,44
import block with ed25519 B-0003,,Wasm,,,5536073619.0,ns,45
import block with ed25519 B-0003,,Wasm,,,6384050766.0,ns,46
import block with ed25519 B-0003,,Wasm,,,6264274995.0,ns,47
import block with ed25519 B-0003,,Wasm,,,5996686321.0,ns,48
import block with ed25519 B-0003,,Wasm,,,6407644266.0,ns,49
import block with ed25519 B-0003,,Wasm,,,6532546024.0,ns,50
